#=====================================================================================================================
#id;location name;count;npc templateid;locx;locy;locz;randomx;randomy;heading (-1 = random);respawn delay
#---------------------------------------------------------------------------------------------------------------------
# MOB Spawns
#---------------------------------------------------------------------------------------------------------------------
#---------------------------------------------------------------------------------------------------------------------
#TI - Dungeon Spawns - fixed spawn locations -------------------------------------------------------------------------
1;TI-Dungeon;1;99;46885;249129;-6360;0;0;-1;45
2;TI-Dungeon;1;372;47770;249490;-6360;0;0;-1;45
3;TI-Dungeon;1;372;47439;249473;-6360;0;0;-1;50
4;TI-Dungeon;1;450;47773;249162;-6360;0;0;-1;45
5;TI-Dungeon;1;450;47796;248898;-6360;0;0;-1;50
6;TI-Dungeon;1;95;47513;248899;-6360;0;0;-1;45
7;TI-Dungeon;1;95;47458;249134;-6360;0;0;-1;50
8;TI-Dungeon;1;372;46670;247794;-6360;0;0;-1;55
9;TI-Dungeon;1;372;46374;247779;-6360;0;0;-1;60
10;TI-Dungeon;1;95;46678;247966;-6360;0;0;-1;55
11;TI-Dungeon;1;99;47727;247896;-6360;0;0;-1;50
12;TI-Dungeon;1;362;47923;246628;-6616;0;0;-1;45
13;TI-Dungeon;1;362;47579;246632;-6616;0;0;-1;50
14;TI-Dungeon;1;362;47539;246861;-6616;0;0;-1;55
15;TI-Dungeon;1;92;47735;246901;-6616;0;0;-1;45
16;TI-Dungeon;1;92;47988;246959;-6616;0;0;-1;50
17;TI-Dungeon;1;99;47993;247255;-6616;0;0;-1;55
18;TI-Dungeon;1;99;47561;247265;-6616;0;0;-1;60
19;TI-Dungeon;1;99;45894;248010;-6360;0;0;-1;65
20;TI-Dungeon;1;372;44907;248990;-6360;0;0;-1;65
21;TI-Dungeon;1;372;44868;249315;-6360;0;0;-1;70
22;TI-Dungeon;1;362;45179;249353;-6360;0;0;-1;60
23;TI-Dungeon;1;362;45248;249158;-6360;0;0;-1;65
24;TI-Dungeon;1;450;45256;248960;-6360;0;0;-1;55
