#-- By CoolMoon ---------------------------------------------
#id;name;level;sex;type;attackrange;hp;mp;exp;sp;patk;pdef;matk;mdef;atkspd;aggro;matkspd;rhand;lhand;armor;walkspd;runspd
#------------------------------------------------------------
# Monsters
#------------------------------------------------------------
1;gremlin;1;male;Monster;36;65;30;29;2;4;41;3;32;253;0;333;0;0;0;20;50
2;rabbit;1;male;Monster;36;65;30;29;2;4;41;3;32;253;0;333;0;0;0;50;80
3;goblin;5;male;Monster;36;130;52;147;4;13;50;4;39;253;0;333;4;0;0;40;110
4;imp;6;male;Monster;36;152;58;176;5;14;52;5;41;253;0;333;0;0;0;60;80
5;imp_ribe;7;male;Monster;36;171;64;205;7;18;53;6;43;253;0;333;0;0;0;60;80
6;orc_archer;8;male;Monster;500;203;69;234;8;43;57;6;45;227;0;333;14;0;0;45;110
7;forest_walking_fungus;9;male;Monster;36;226;75;264;9;22;58;7;47;253;0;333;0;0;0;70;110
8;felim_lizardman;14;male;Monster;36;363;106;411;16;33;80;12;59;253;0;333;1;0;0;43;130
9;vuku_orc;14;male;Monster;36;375;106;411;16;34;75;12;59;253;0;333;156;0;0;45;110
10;felim_lizardman_scout;15;male;Monster;36;389;112;441;18;39;76;14;62;253;0;333;16;0;0;43;130
11;vuku_orc_archer;15;male;Monster;500;402;112;441;18;83;78;14;62;227;0;333;14;0;0;45;110
12;les_werewolf;16;male;Monster;36;416;118;471;19;44;79;15;64;253;1;333;0;0;0;31;120
13;dryad;13;female;Monster;36;338;99;381;15;30;77;11;56;253;0;333;0;0;0;70;110
14;felim_lizardman_warrior;17;male;Monster;36;445;125;499;21;48;83;17;67;253;1;333;16;0;0;52;130
15;marsh_zombie;13;male;Monster;36;338;99;381;15;33;70;11;56;253;0;333;0;0;0;15;15
16;stone_golem;13;male;Monster;36;338;99;381;15;30;70;11;56;253;0;333;0;0;0;23;23
17;vuku_orc_fighter;17;male;Monster;36;445;125;499;21;48;83;17;67;253;1;333;2;0;0;45;110
18;devourer_fungus;14;male;Monster;36;363;106;411;16;35;73;12;59;253;1;333;0;0;0;50;110
19;dryad_ribe;14;female;Monster;36;363;106;411;16;33;80;12;59;253;0;333;0;0;0;70;110
20;marsh_zombie_pointer;14;male;Monster;36;363;106;411;16;33;80;12;59;253;0;333;0;0;0;15;15
21;red_bear;14;male;Monster;36;363;106;411;16;35;73;12;59;253;0;333;0;0;0;40;110
