#id;name;level;target;power
#------------------------------------------------------------
# Misc Mage and Fighter Skills
#------------------------------------------------------------
1239;Hurricane;1;one;49
1239;Hurricane;2;one;52
1239;Hurricane;3;one;55
1239;Hurricane;4;one;58
1239;Hurricane;5;one;61
1239;Hurricane;6;one;65
1239;Hurricane;7;one;68
1239;Hurricane;8;one;72
1239;Hurricane;9;one;75
1239;Hurricane;10;one;78
1235;Hydro Blast;1;one;49
1235;Hydro Blast;2;one;52
1235;Hydro Blast;3;one;55
1235;Hydro Blast;4;one;58
1235;Hydro Blast;5;one;61
1235;Hydro Blast;6;one;65
1235;Hydro Blast;7;one;68
1235;Hydro Blast;8;one;72
1235;Hydro Blast;9;one;75
1235;Hydro Blast;10;one;78
1236;Frost Bolt;1;one;30
1236;Frost Bolt;2;one;31
1236;Frost Bolt;3;one;33
1236;Frost Bolt;4;one;35
1236;Frost Bolt;5;one;37
1236;Frost Bolt;6;one;39
1236;Frost Bolt;7;one;41
1236;Frost Bolt;8;one;43
1236;Frost Bolt;9;one;45
1236;Frost Bolt;10;one;47
1237;Ice Dagger;1;one;28
1237;Ice Dagger;2;one;29
1237;Ice Dagger;3;one;31
1237;Ice Dagger;4;one;33
1237;Ice Dagger;5;one;34
1237;Ice Dagger;6;one;36
1237;Ice Dagger;7;one;38
1237;Ice Dagger;8;one;39
263;Deadly Blow;1;one;1107
263;Deadly Blow;2;one;1176
263;Deadly Blow;3;one;1249
263;Deadly Blow;4;one;1325
263;Deadly Blow;5;one;1405
263;Deadly Blow;6;one;1488
263;Deadly Blow;7;one;1574
263;Deadly Blow;8;one;1664
263;Deadly Blow;9;one;1757
263;Deadly Blow;10;one;1853
263;Deadly Blow;11;one;1953
263;Deadly Blow;12;one;2057
263;Deadly Blow;13;one;2164
263;Deadly Blow;14;one;2274
263;Deadly Blow;15;one;2388
263;Deadly Blow;16;one;2505
263;Deadly Blow;17;one;2625
263;Deadly Blow;18;one;2748
263;Deadly Blow;19;one;2875
263;Deadly Blow;20;one;3004
263;Deadly Blow;21;one;3136
280;Burning Fist;1;one;431
280;Burning Fist;2;one;458
280;Burning Fist;3;one;486
280;Burning Fist;4;one;516
280;Burning Fist;5;one;547
280;Burning Fist;6;one;579
280;Burning Fist;7;one;612
280;Burning Fist;8;one;647
280;Burning Fist;9;one;683
280;Burning Fist;10;one;721
280;Burning Fist;11;one;760
280;Burning Fist;12;one;800
280;Burning Fist;13;one;842
280;Burning Fist;14;one;885
280;Burning Fist;15;one;929
280;Burning Fist;16;one;974
280;Burning Fist;17;one;1021
280;Burning Fist;18;one;1069
280;Burning Fist;19;one;1118
280;Burning Fist;20;one;1169
280;Burning Fist;21;one;1220
281;Soul Breaker;1;one;144
281;Soul Breaker;2;one;153
281;Soul Breaker;3;one;162
281;Soul Breaker;4;one;172
281;Soul Breaker;5;one;183
281;Soul Breaker;6;one;193
281;Soul Breaker;8;one;204
281;Soul Breaker;9;one;216
281;Soul Breaker;10;one;228
281;Soul Breaker;11;one;241
281;Soul Breaker;12;one;254
281;Soul Breaker;13;one;267
281;Soul Breaker;14;one;281
281;Soul Breaker;15;one;295
281;Soul Breaker;16;one;310
281;Soul Breaker;17;one;325
281;Soul Breaker;18;one;341
281;Soul Breaker;19;one;357
281;Soul Breaker;20;one;373
281;Soul Breaker;21;one;390
281;Soul Breaker;22;one;407
284;Hurricane Assault;1;one;501
284;Hurricane Assault;2;one;535
284;Hurricane Assault;3;one;570
284;Hurricane Assault;4;one;607
284;Hurricane Assault;5;one;646
284;Hurricane Assault;6;one;729
284;Hurricane Assault;7;one;773
284;Hurricane Assault;8;one;820
284;Hurricane Assault;9;one;868
284;Hurricane Assault;10;one;918
284;Hurricane Assault;11;one;971
284;Hurricane Assault;12;one;1025
284;Hurricane Assault;13;one;1081
284;Hurricane Assault;14;one;1140
284;Hurricane Assault;15;one;1200
284;Hurricane Assault;16;one;1262
284;Hurricane Assault;17;one;1327
284;Hurricane Assault;18;one;1393
284;Hurricane Assault;19;one;1461
284;Hurricane Assault;20;one;1531
