#mobId;itemId;min;max;sweep;chance
1;57;7;10;0;700000
1;1121;1;1;0;71429
1;35;1;1;0;13158
1;36;1;1;0;13158
1;48;1;1;0;13158
1;1864;1;1;0;10000
1;1866;1;1;0;3226
1;116;1;1;1;120000
1;1864;1;1;1;40000
2;57;7;10;0;700000
2;1867;1;1;1;13062
2;112;1;1;0;23992
2;1867;1;1;0;6531
2;1872;1;1;0;6531
2;1786;1;1;0;1567
2;17;20;20;0;9797
3;57;25;35;0;700000
3;116;1;1;0;71429
3;112;1;1;0;47619
3;118;1;1;0;34483
3;17;20;39;0;34483
3;1865;1;1;0;7143
3;1870;1;1;0;7143
3;1871;1;1;0;7143
3;1788;1;1;0;5556
3;116;1;1;1;420000
3;1871;1;1;1;71429
4;57;34;48;0;700000
4;1864;1;1;0;18868
4;1129;1;1;0;8333
4;1119;1;1;0;8333
4;1122;1;1;0;8333
4;1866;1;1;0;6250
4;1866;1;1;1;62500
4;2006;1;1;1;6667
5;57;42;59;0;700000
5;1864;1;1;0;23810
5;19;1;1;0;14925
5;42;1;1;0;10417
5;1866;1;1;0;7692
5;1060;1;1;1;270000
5;1866;1;1;1;83333
6;57;55;75;0;700000
6;17;20;39;0;38462
6;1864;1;1;0;15152
6;1796;1;1;0;10000
6;1866;1;1;0;5000
6;2007;1;1;0;4348
6;14;1;1;0;1000
6;1060;1;1;1;340000
6;113;1;1;1;38462
7;57;66;89;0;700000
7;1866;1;1;1;60459
7;42;1;1;0;11946
7;2007;1;1;0;3887
7;1864;1;1;0;36275
7;1050;1;1;0;72550
7;735;1;1;0;1511
8;57;94;139;0;700000
8;1867;1;1;0;24390
8;1872;1;1;0;24390
8;736;1;1;0;9091
8;2371;1;1;0;833
8;255;1;1;0;400
8;1871;1;1;1;280000
8;1793;1;1;1;20408
9;57;94;139;0;700000
9;1867;1;1;0;35714
9;1870;1;1;0;27027
9;2371;1;1;0;833
9;255;1;1;0;400
9;1870;1;1;1;280000
9;43;1;1;1;13889
10;57;96;146;0;700000
10;1060;1;1;0;31250
10;1867;1;1;0;18868
10;1872;1;1;0;18868
10;1794;1;1;0;1042
10;271;1;1;0;833
10;1833;1;3;1;760000
11;57;96;146;0;700000
11;17;20;39;0;71429
11;1864;1;1;0;28571
11;1798;1;1;0;13889
11;1866;1;1;0;9091
11;271;1;1;0;833
11;736;1;1;1;140000
11;1792;1;1;1;21277
12;57;97;151;0;700000
12;1800;1;1;1;45518
12;908;1;1;0;1460
12;1897;1;1;0;34260
12;1870;1;1;0;28949
12;1801;1;1;0;43752
13;57;93;132;0;700000
13;1864;1;1;0;52632
13;1866;1;1;0;17544
13;2008;1;1;0;2703
13;154;1;1;0;256
13;2008;1;1;0;256
13;1896;1;1;1;200000
13;1866;1;1;1;180000
14;57;99;159;0;700000
14;1867;1;1;0;40000
14;1872;1;1;0;40000
14;2012;1;1;0;1250
14;121;1;1;0;91
14;120;1;1;0;91
14;1867;1;1;1;410000
14;2254;1;1;1;12500
15;57;93;132;0;700000
15;1831;1;1;0;34483
15;1867;1;1;0;17544
15;1870;1;1;0;13158
15;1803;1;1;0;10989
15;2008;1;1;0;2703
15;154;1;1;0;256
15;2008;1;1;0;256
15;1871;1;1;1;270000
15;1798;1;1;1;260000
16;57;93;132;0;700000
16;1865;1;3;0;43478
16;1869;1;3;0;43478
16;1873;1;3;0;17544
16;1865;1;1;1;270000
16;37;1;1;1;20000
17;57;99;159;0;700000
17;1867;1;1;0;26316
17;1870;1;1;0;20000
17;1870;1;1;0;20000
17;736;1;1;0;10000
17;2012;1;1;0;1250
17;121;1;1;0;91
17;2;1;1;0;91
17;120;1;1;0;91
17;1870;1;1;1;300000
17;1897;1;1;1;120000
18;57;94;139;0;700000
18;1798;1;1;1;133137
18;20;1;1;0;5862
18;2009;1;1;0;3852
18;1792;1;1;0;5991
19;57;94;139;0;700000
19;1060;1;1;0;30303
19;1864;1;1;0;27027
19;1923;1;1;0;22222
19;1922;1;1;0;13889
19;1866;1;1;0;9091
19;736;1;1;0;6667
19;464;1;1;0;2174
19;429;1;1;0;1370
19;1864;1;1;1;550000
19;1923;1;1;1;110000
20;57;94;139;0;700000
20;1921;1;1;0;47619
20;1867;1;1;0;24390
20;1870;1;1;0;18182
20;37;1;1;0;5556
20;49;1;1;0;5556
20;1661;1;1;0;3571
20;1831;1;1;1;740000
20;1799;1;1;1;410000
21;57;94;139;0;700000
21;1867;1;1;0;35714
21;1872;1;1;0;35714
21;2008;1;1;0;2857
21;154;1;1;0;270
21;2008;1;1;0;270
21;1921;1;1;1;180000
21;1792;1;1;1;20408
22;57;159;235;0;700000
22;1872;1;1;1;552253
22;216;1;1;0;919
22;2009;1;1;0;11750
22;1055;1;1;0;99406
23;57;96;146;0;700000
23;1868;1;1;1;282240
23;154;1;1;0;313
23;1923;1;1;0;46269
23;1097;1;1;0;30790
24;57;99;159;0;700000
24;1867;1;1;0;40000
24;1872;1;1;0;40000
24;2012;1;1;0;1250
24;121;1;1;0;91
24;2;1;1;0;91
24;120;1;1;0;91
24;1817;1;1;1;62500
24;2253;1;1;1;12500
25;57;96;146;0;700000
25;1923;1;1;0;23256
25;1865;1;1;0;18868
25;1869;1;1;0;18868
25;1922;1;1;0;14493
25;1873;1;1;0;7692
25;464;1;1;0;2273
25;429;1;1;0;1408
25;1799;1;1;1;420000
25;1869;1;1;1;290000
26;57;96;146;0;700000
26;1921;1;1;0;47619
26;1831;1;1;0;37037
26;1867;1;1;0;18868
26;1870;1;1;0;14085
26;736;1;1;0;7143
26;37;1;1;0;5556
26;49;1;1;0;5556
26;1866;1;1;1;190000
26;1923;1;1;1;120000
27;57;97;151;0;700000
27;1867;1;3;0;62500
27;1872;1;3;0;62500
27;1800;1;1;0;30303
27;1865;1;1;1;290000
27;845;1;1;1;6667
28;57;97;151;0;700000
28;1801;1;1;1;72920
28;945;1;1;0;5049
28;1925;1;1;0;56950
28;1868;1;1;0;57899
28;2150;1;1;0;40774
29;57;97;151;0;700000
29;1831;1;1;0;38462
29;1867;1;1;0;19231
29;1870;1;1;0;14493
29;2144;1;1;0;2857
29;2011;1;1;0;2632
29;15;1;1;0;169
29;1864;1;1;1;590000
29;2013;1;1;1;6250
30;57;96;146;0;700000
30;1867;1;1;0;25000
30;1872;1;1;0;25000
30;2009;1;1;0;4000
30;1661;1;1;0;3704
30;216;1;1;0;417
30;1831;1;1;1;760000
30;1798;1;1;1;280000
31;57;99;159;0;700000
31;1865;1;1;1;149933
31;24;1;1;0;886
31;1925;1;1;0;58990
31;1865;1;1;0;29987
31;1521;1;1;0;22490
32;57;99;159;0;700000
32;1868;1;1;0;30303
32;1871;1;1;0;14925
32;736;1;1;0;7692
32;1062;1;1;0;2500
32;31;1;1;0;909
32;412;1;1;0;909
32;24;1;1;0;588
32;390;1;1;0;588
32;1868;1;1;1;610000
32;1062;1;1;1;50000
33;57;99;159;0;700000
33;1897;1;1;0;23810
33;2253;1;1;0;2439
33;877;1;1;0;2041
33;845;1;1;0;1351
33;908;1;1;0;1010
33;1924;1;1;1;100000
33;2139;1;1;1;62500
34;57;99;159;0;700000
34;1868;1;1;1;299867
34;272;1;1;0;132
34;2013;1;1;0;1942
34;1866;1;1;0;19991
34;1534;1;1;0;14993
34;1060;1;1;0;46133
35;57;99;159;0;700000
35;1872;1;3;0;100000
35;1869;1;3;0;76923
35;1925;1;1;1;200000
35;2140;1;1;1;62500
36;57;102;168;0;700000
36;1897;1;1;0;25000
36;1865;1;1;0;12658
36;1869;1;1;0;12658
36;1873;1;1;0;5000
36;2173;1;1;0;3448
36;877;1;1;0;2128
36;845;1;1;0;1408
36;1880;1;1;0;1266
36;908;1;1;0;1053
36;2175;1;1;1;250000
36;1873;1;1;1;130000
37;57;169;278;0;700000
37;735;1;1;1;39220
37;50;1;1;0;8342
37;1925;2;2;0;92584
37;1865;1;1;0;94127
37;2174;1;1;0;122774
38;57;105;173;0;700000
38;1868;1;1;0;43478
38;2175;1;1;0;17544
38;1866;1;1;0;14493
38;2012;1;1;0;1351
38;121;1;1;0;100
38;2;1;1;0;100
38;120;1;1;0;100
38;1868;1;1;1;630000
38;2174;1;1;1;140000
39;57;100;165;0;700000
39;1924;1;1;0;20000
39;1872;1;1;0;13699
39;1869;1;1;0;10309
39;945;1;1;0;3571
39;102;1;1;0;1724
39;1881;1;1;0;1370
39;44;1;1;0;1205
39;1880;1;1;0;1031
39;735;1;1;0;833
39;2252;1;1;0;417
39;1872;1;1;1;420000
39;2011;1;1;1;7143
40;5757;100;165;0;700000
40;1924;1;1;0;20000
40;1872;1;1;0;16393
