#id;name;bodypart;crystallizable;armor.type;weight;material;crystal.type;avoid.modify;durability;p.def;m.def;mp.bonus
21;shirt;chest;false;light;4830;cloth;none;0;90;36;0;0;
22;leather_shirt;chest;false;light;4830;leather;none;0;90;43;0;0;
23;wooden_breastplate;chest;false;light;4820;wood;none;0;90;47;0;0;
24;bone_breastplate;chest;false;light;4770;bone;none;0;85;50;0;0;
25;piece_bone_breastplate;chest;false;heavy;8970;bone;none;0;85;62;0;0;
26;bronze_breastplate;chest;false;heavy;8920;bronze;none;0;90;68;0;0;
27;hard_leather_shirt;chest;false;light;4720;leather;none;0;90;53;0;0;
28;pants;legs;false;light;1740;cloth;none;0;90;22;0;0;
29;leather_pants;legs;false;light;1730;leather;none;0;90;27;0;0;
30;hard_leather_pants;legs;false;light;1700;leather;none;0;90;29;0;0;
31;bone_gaiters;legs;false;light;1680;bone;none;0;85;32;0;0;
32;piece_bone_gaiters;legs;false;heavy;4020;bone;none;0;85;39;0;0;
33;hard_leather_gaiters;legs;false;light;1610;leather;none;0;90;33;0;0;
34;bronze_gaiters;legs;false;heavy;3960;bronze;none;0;90;43;0;0;
35;cloth_shoes;feet;false;none;1320;cloth;none;0;90;9;0;0;
36;leather_sandals;feet;false;none;1320;leather;none;0;90;9;0;0;
37;leather_shoes;feet;false;none;1320;leather;none;0;90;13;0;0;
38;low_boots;feet;false;none;1320;leather;none;0;90;15;0;0;
39;boots;feet;false;none;1310;cloth;none;0;90;17;0;0;
40;leather_boots;feet;true;none;1300;leather;d;0;90;19;0;0;
41;cloth_cap;head;false;none;660;cloth;none;0;90;13;0;0;
42;leather_cap;head;false;none;660;leather;none;0;90;16;0;0;
43;wooden_helmet;head;false;none;660;wood;none;0;90;19;0;0;
44;leather_helmet;head;false;none;650;leather;none;0;90;23;0;0;
45;bone_helmet;head;true;none;640;bone;d;0;90;29;0;0;
46;bronze_helmet;head;true;none;630;bronze;d;0;90;33;0;0;
47;helmet;head;true;none;640;fine_steel;d;0;90;37;0;0;
48;short_gloves;gloves;false;none;660;cloth;none;0;90;9;0;0;
49;gloves;gloves;false;none;660;cloth;none;0;90;13;0;0;
50;leather_gloves;gloves;false;none;650;leather;none;0;90;15;0;0;
51;bracer;gloves;false;none;650;leather;none;0;90;17;0;0;
52;hemp_cloak;back;false;none;260;cloth;none;0;90;2;0;0;
53;cotton_cloak;back;false;none;250;cloth;none;0;90;3;0;0;
54;silk_cloak;back;false;none;250;cloth;none;0;90;4;0;0;
55;cotton_underwear_set;underwear;false;none;170;cotton;none;0;90;4;0;0;
56;wool_underwear_set;underwear;false;none;170;wood;none;0;90;5;0;0;
58;mithril_breastplate;chest;true;heavy;8670;mithril;d;0;95;95;0;0;
59;mithril_gaiters;legs;true;heavy;3830;mithril;d;0;95;61;0;0;
60;composite_armor;fullarmor;true;heavy;10980;fine_steel;c;0;90;224;0;0;
61;mithril_glove;gloves;true;none;630;mithril;d;0;90;29;0;0;
62;mithril_boots;feet;true;none;1290;mithril;d;0;97;24;0;0;
